passenger_class,sibling_spouse,parent_children,fare
1,1.0,1,79.65
2,0.0,0,10.5
3,0.0,0,7.75
2,0.0,2,26.0
3,0.0,0,8.05
2,1.0,0,24.0
2,0.0,0,13.0
3,1.0,0,16.1
3,1.0,0,24.15
3,0.0,0,7.225
1,1.0,0,83.475
3,0.0,0,7.05
2,1.0,1,37.0042
2,0.0,0,11.5
1,0.0,0,86.5
3,4.0,2,31.275
3,4.0,2,31.275
2,0.0,0,13.0
3,4.0,1,39.6875
2,2.0,3,18.75
3,3.0,1,25.4667
2,0.0,0,0.0
3,0.0,0,7.8542
3,3.0,1,21.075
3,8.0,2,69.55
2,0.0,0,13.0
3,4.0,2,31.3875
3,0.0,0,8.05
2,0.0,2,13.0
2,1.0,1,26.25
3,0.0,0,7.8958
2,0.0,0,13.0
3,0.0,0,7.925
1,1.0,0,52.0
3,0.0,0,7.25
2,1.0,1,14.5
3,4.0,2,31.275
3,0.0,0,7.7333
1,0.0,0,27.7208
3,4.0,2,31.3875
3,1.0,0,11.2417
3,0.0,0,7.2292
3,0.0,0,7.8958
3,0.0,0,8.05
3,3.0,1,21.075
3,0.0,2,15.7417
3,1.0,0,14.5
2,0.0,0,12.65
3,0.0,0,8.6625
3,0.0,2,22.3583
2,0.0,2,29.0
3,0.0,2,22.025
1,1.0,0,82.1708
3,5.0,2,46.9
3,0.0,0,7.75
2,0.0,1,26.0
1,0.0,0,26.55
3,1.0,3,34.375
3,0.0,0,8.05
3,0.0,0,7.8542
2,0.0,0,16.0
2,1.0,1,26.25
1,0.0,0,80.0
3,0.0,0,7.8958
1,1.0,0,66.6
3,3.0,1,25.4667
3,0.0,0,8.05
2,0.0,0,13.5
3,0.0,0,7.8958
3,0.0,0,7.725
3,0.0,0,7.75
1,0.0,0,35.5
3,0.0,0,56.4958
2,0.0,0,10.5
3,0.0,0,7.75
3,1.0,1,15.9
3,0.0,0,6.4958
3,0.0,0,7.8958
2,1.0,1,36.75
2,1.0,0,21.0
1,0.0,0,30.6958
1,1.0,0,51.8625
3,8.0,2,69.55
3,0.0,0,8.05
1,0.0,1,153.4625
3,0.0,0,7.05
3,0.0,0,7.775
3,0.0,0,8.05
3,1.0,6,46.9
1,2.0,0,51.4792
1,0.0,0,27.7208
2,0.0,0,13.0
3,0.0,0,14.5
2,0.0,0,10.5
3,0.0,0,8.6625
3,0.0,0,7.775
3,2.0,1,19.2583
1,1.0,0,53.1
3,1.0,0,16.1
1,0.0,0,26.55
2,0.0,1,19.5
3,0.0,0,7.75
3,0.0,0,7.2292
1,1.0,0,53.1
3,0.0,0,7.1417
2,2.0,0,73.5
1,0.0,1,247.5208
3,1.0,0,7.8542
3,1.0,0,18.0
2,0.0,2,37.0042
2,0.0,0,13.0
3,0.0,0,7.75
3,2.0,0,23.25
1,0.0,0,39.6
3,0.0,0,7.8
3,0.0,0,7.65
1,0.0,0,26.55
2,0.0,0,73.5
1,0.0,0,33.5
3,0.0,0,7.8958
3,0.0,0,6.975
2,0.0,0,10.5
3,0.0,0,8.1125
3,0.0,1,12.2875
1,1.0,0,53.1
1,1.0,0,71.2833
3,1.0,2,23.45
3,1.0,1,20.525
2,0.0,0,21.0
1,1.0,0,90.0
3,0.0,0,8.6625
1,0.0,0,27.7208
3,0.0,0,16.1
3,0.0,0,9.5
3,0.0,0,7.775
3,0.0,0,7.8292
3,4.0,1,29.125
2,0.0,0,12.35
3,0.0,1,14.4542
3,8.0,2,69.55
1,0.0,0,28.5
3,0.0,0,7.4958
3,0.0,0,7.05
1,0.0,0,52.0
3,1.0,1,24.15
3,0.0,0,7.8958
3,1.0,0,14.4542
3,0.0,0,8.05
3,0.0,0,7.55
2,2.0,0,73.5
3,4.0,2,31.275
1,1.0,2,151.55
3,0.0,0,7.775
3,0.0,0,7.8958
3,1.0,1,20.25
1,0.0,1,153.4625
2,1.0,2,65.0
3,0.0,0,8.05
2,0.0,0,13.0
3,0.0,0,8.05
1,1.0,0,76.7292
3,0.0,0,7.925
3,0.0,0,6.75
1,0.0,0,30.5
1,0.0,0,0.0
3,0.0,0,7.25
2,0.0,0,10.5
2,1.0,0,11.5
3,0.0,0,7.2292
3,3.0,2,27.9
3,0.0,0,8.05
1,0.0,0,26.55
1,0.0,0,40.125
3,0.0,0,10.1708
3,0.0,0,7.7958
1,1.0,0,89.1042
3,1.0,2,23.45
3,0.0,0,7.7875
3,0.0,0,7.75
3,1.0,1,22.3583
3,0.0,0,7.25
2,0.0,0,10.5
2,0.0,2,26.25
3,0.0,0,56.4958
1,0.0,1,29.7
1,0.0,1,77.2875
1,2.0,2,262.375
3,5.0,2,46.9
3,2.0,1,19.2583
1,0.0,0,86.5
2,1.0,0,30.0708
3,0.0,0,6.2375
1,1.0,1,164.8667
3,0.0,0,7.2292
2,0.0,0,10.5
3,0.0,0,8.05
3,0.0,0,8.05
3,0.0,0,16.1
3,0.0,0,7.2292
1,0.0,0,135.6333
2,0.0,0,13.0
3,0.0,0,7.75
2,0.0,0,33.0
3,0.0,0,8.05
3,0.0,0,7.925
3,0.0,0,7.2292
3,2.0,2,34.375
3,0.0,0,8.05
3,1.0,1,15.9
2,1.0,1,23.0
3,0.0,0,7.75
1,1.0,0,91.0792
3,0.0,0,7.75
3,0.0,0,7.775
1,0.0,0,26.2875
1,0.0,0,30.6958
3,0.0,0,7.8958
1,0.0,0,30.0
2,0.0,0,10.5
3,0.0,0,7.05
1,0.0,0,26.2875
3,3.0,2,27.9
1,0.0,0,47.1
1,0.0,1,247.5208
3,2.0,0,18.0
2,0.0,0,12.525
3,0.0,0,56.4958
1,0.0,0,25.925
2,0.0,0,73.5
3,1.0,2,20.575
3,0.0,0,7.25
3,1.0,0,14.4583
3,1.0,0,14.4542
2,0.0,0,13.0
3,1.0,0,7.775
3,0.0,0,9.5875
2,1.0,1,29.0
2,0.0,0,10.5
2,0.0,0,13.0
3,0.0,0,7.8958
1,1.0,0,52.5542
1,0.0,0,38.5
3,1.0,0,15.5
3,1.0,0,11.2417
3,0.0,0,7.25
3,0.0,0,7.7958
2,1.0,1,26.0
1,0.0,0,78.85
1,0.0,0,76.7292
3,0.0,0,7.2292
2,0.0,0,13.0
2,0.0,0,26.0
3,0.0,0,7.925
3,1.0,0,9.475
1,1.0,0,90.0
3,0.0,0,7.2292
3,1.0,0,7.925
2,0.0,0,13.0
1,0.0,0,35.0
1,1.0,1,52.5542
3,0.0,2,15.2458
2,0.0,0,13.0
